용어
Wag the Dog
X-비효율(X-inefficiency)
YH사건
foreign currency mortgage
s-CBO
underwriting
"가격 차별(Price Discrimination, Price Differentiation)"
가격거품
가격고정(Price Fixing)
가격약속
가격통제
가격하한제(최저 가격제)
가공무역
가교은행
가등기담보
가변비용(Variable Cost)
가산금
가산금리
가상현실(VR)
가상화폐공개(ICO: Initial Coin offering)
가수요
가지급금
가처분등기
가처분소득
가치사슬(Value Chain)
가치의 역설
간이정액환급
간접비
간접세
간주임대료
간편결제서비스
갈라파고스경제
감가상각
감가상각비
감마(Gamma)
감채기금계수
개발원조위원회(DAC)
개별공시지가
개인신용평가시스템
개인신용회복지원제도
개인워크아웃
개인자산통합관리서비스
개인퇴직계좌(IRA)
개호보험(介護保險)
갭투자
거래 상대방 위험(counterparty risk)
거래강제
거래거절행위
거북선펀드
거시 건전성 정책
거시건전성부담금
거시경제지표
거주자외화예금
게임이론
견질어음
결산
결제통화
경기 순응성 / 경기 역행성
경기동행지수(CCI; Coincident Composite Index)
경기선행지수(CLI)
경기순환
경기안정화정책
경기적 실업
경기종합지수
경락잔금대출
경로 의존성(Path Dependence)
경매(Auction)
경상경비
경상수지
경상이익
경실련
경쟁법 역외적용
경쟁제한규제
경제 활동 참가율
경제고통지수
경제관계장관회의
경제발전경험 공유사업(KSP: Knowledge Sharing Program)
경제부총리
경제불쾌지수
경제성장률
경제신뢰지수
경제자유구역
경제자유지수
경제적 이윤(Economic Profit)
경제정의실천시민연합
경제지대
경제투표
경제특구
경제활동인구
경제후생지표
경착륙/연착륙
계속거래
계약 이론(Contract Theory)
계약형지배구조
계절관세
계좌이동서비스(計座移動Services)
고객예탁금
고용률
고용없는 성장
고용탄력성
고정 금리 / 변동 금리
고정 금리 저당 대출(FRM: Fixed-rate mortgage)
고정금리
고정비용(Fixed Cost)
고정환율제도
골드만삭스
골든크로스(GC)
골디락스
공개매수
공개시장조작(Open Market Operation)
공개입찰
공공재(Public Goods)
공리주의
공모
공모-사모 스프레드(Public-private spread)
공모주청약
공모펀드
공실률
공유가치창출(Create Shared Value)
공유경제(Sharing Economy)
공인회계사(CPA)
공적개발원조(ODA: Official Development Aid)
공적부조
공적연금
공정거래법
공정거래위원회
공정무역
공채
공탁
공포지수
과부하 요금설정(Peak-load Pricing)
과점시장
관리(대상)종목
관리변동환율제
관세
관세장벽
광의 통화
교역조건
교역촉진법(BHC법)
교차보조
교환 방정식/화폐 수량설
교환사채
구두창 비용
"구매력평가지수(Purchasing power parity, PPP)"
구분계리
구상무역
구속조건부거래
구제금융(Bailout)
구조-행동-성과 분석체계(Structure–Conduct–Performance Paradigm)
구조적 실업
구조화금융(Structured Finance)
구주매출
구직단념자
구축효과(Crowd-out Effect)
국가신용등급
국내여신
국내총생산(GDP)/국민총생산(GNP)
국민부담률
국민연금 보험료율
국민연금 소득대체율
국민연금 재정추계
국민총소득(GNI)
국부펀드
국외 순수취 요소 소득
국제결제은행
국제노동기구(ILO: International Labor Organization)
국제수지
국제신인도
국제조세경쟁
국제통화기금
국제투자보증공사(MIGA)
국제피셔효과
국채통합발행제도
군집행태(herd behavior)
권리락
권배락
권원보험
권장소비자가격제도
규모의 경제(Economies of Scale)
규제프리존
균형 재정 승수
균형가격
그라민은행
그레셤의 법칙
그레이 스완(Gray Swan)
그릭(Greeks)
그린메일
그린백
그린슈트(Green Shoots)
그린채권
그림자규제
그림자금융(Shadow banking)
근린궁핍화정책
근원 인플레이션
글로벌금융안전망(GFSN: Global Financial Safety Net)
글로벌벤치마크지수
금리 자유화
금리스왑(IRS: Interest Rate Swap)
금리연동형 상품
금리인하 요구권
금본위제
금산분리
"금융 패닉
(financial panic)"
금융ㆍ보험사의결권제한제도
금융감독원(Financial Supervisory Service)
금융공학
금융분쟁조정위원회
금융성기금
금융소득종합과세
금융소외계층 포용 글로벌 파트너십(GPFI)
금융소외자
금융실명제
금융안정화포럼(FSF; Financial Stability Forum)
금융억압(Financial Repression)
금융재조달
금융정보분석기구
금융정보분석원(FIU: Financial Intelligence Unit)
금융정보자동교환협정
금융지주회사
금융채
금융통화위원회
금융허브
금전신탁
금전채권
금지보조금
금태환
기간산업
기금형지배구조
기능통화
기대효용(Expected Utility)
기본 소득(Basic Income)
기술원조
기술적 반등
기업분할명령제
기업성장집합투자기구(BDC)
기업신용등급
기저효과
기준금리
기준환시세
기초자산(Underlying Asset)
기축통화(Key Currency)
기펜재(Giffen goods)
기하브라운운동(GBM: Geometric Brownian Motion)
기회비용
긱 경제(Gig Economy)
긴급수입제한조치(Safe Guards)
긴축정책
김치본드
꼬리 위험(Tail Risk)
끼워팔기(Tying)
나스닥(NASDAQ)
낙수효과(Trickle-down Effect)
남북경제협력사업
남북경제협력사업보험(남북경협보험)
남북청산결제
남북투자보장합의서
남북협력기금
내국민대우
내국신용장(Local L/C)
내부 시차
내생적 성장 이론
내쉬균형(Nash Equilibrium)
내자거래
내재 가치(Intrinsic Value)
"내재 변동성(Implied Volatility, IV)"
내재파생상품
넉인/넉아웃(Knock-In/Knock-Out)
넛 크래커(Nut-Cracker)
네거티브 에쿼티(Negative Equity)
네트워크 외부성(Network Externality) / 네트워크 효과(Network Effect)
넥스트11(Next-11)
노동경제학(Labor Economics)
노동생산성
노동생산성지수
노동소득분배율
노령연금
노사정위원회
녹색 GDP / 그린 GDP
녹색채권
농업의 비교역적 기능
뇌동매매
누적적우선주
누적조항
누진세율
뉴 라운드(도하개발아젠다)
뉴노멀(New Normal)
닉슨쇼크
님투(NIMTOO) 현상
다우존스 평균주가지수
다우지수
닥터 코퍼(Dr. Copper)
단기금리
단리이자
단생보험
달러 페그제
달러인덱스
달러화통용제도(Dollarization)
담보권 행사(Foreclosure)
당좌거래
당좌대출
당좌비율
당좌수표
당좌예금
닻내림 효과(Anchoring Effect)
대공황
대내지향형 발전전략 / 대외지향형 발전전략
대부 자금설
대부업
대손상각
대손충당금
대안화폐
대외 의존도
대외경제협력기금(Economic Development Cooperation Fund: EDCF)
대용가
대용금
대재해채권(CAT Bond)
대차거래
대차대조표 불황(Balance Sheet Recession)
대체 편의
대체재(Substitute Good) / 보완재(Complementary Good)
대체탄력성
대출금출자전환
대출채권담보부증권
대출태도
대환대출
더블 딥(Double Dip)
덤핑
데카콘기업
도덕적 해이(Moral Hazard)
도드-프랭크법(Dodd-Frank)
독점
독점적 경쟁시장(Monopolistic Competitive Market)
돈세탁
동남아시아 국가연합(ASEAN)
동시호가
동아시아 외환위기
듀레이션 미스매치
듀레이션(Duration)
디레버리징
디스인플레이션
디지털 금융
"디큐뮬레이션(Decumulation, De-accumulation)"
디폴트옵션제도
디플레이션
딤섬본드
래퍼 곡선(Laffer Curve)
랜덤워크(Random Walk)
랠리
랩어카운트(Wrap Account)
"러너의 독점력 지수(러너지수, Lerner Index of Monopoly Power)"
레몬마켓(Lemon Market)
레버리지 ETF
레이거노믹스(Reaganomics)
로렌츠곡선
로마조약
로보 어드바이저(Robo-advisor)
롱숏펀드
롱테일법칙
롱포지션
리니언시(Leniency)
리디노미네이션
리먼사태
리보금리(LIBOR)
리스크중심감독
리츠(REITS)
리코노믹스
리파이낸싱
리포 105
리플레이션
리픽싱
립스틱 효과(Lipstick Effect)
마냐나 경제
마빈스(MAVINS)
마이너스 금리
마이너스 대출
마일리지 서비스
마진콜
마찰적 실업 / 탐색적 실업
만기가액
매도헤지
매매율차
매매차익
매매회전율
매몰비용(Sunk Cost)
매스티지
맥락효과(Contextual Effect)
머니마켓크런치
머들링 스루(Muddling Through)
메가뱅크(Mega Bank)
메기효과(Catfish Effect)
메뉴비용
메자닌
메자닌파이낸싱(주식연계신용공여제도)
명목 금리 / 실질 금리
명목 소득 / 실질 소득
모기지론
모딜리아니-밀러 정리(Modigliani-Miller theorem)
모라토리엄(Moratorium)
모멘텀
모자펀드
모집주선
모태펀드
무기명채권
무디스
무상감자
무상증자
무액면주식제
무역관련 지적재산권에 관한 협정
무역관련투자조치
무역구제제도
무역의존도
무역장벽규정
무역촉진권한
무역특혜협정
무임승차자의 문제(Free Rider Problem)
무중량경제
무지의 베일
무차별곡선
무형자산의 상각(Amortization)
묵시적 담합(Tacit Collusion)
묶어팔기(Bundling)
문고리정책(Door-knob Policy)
물가 및 물가지수
물가안정목표제(Inflation Targeting)
물가연동계수
뮤추얼펀드(Mutual Fund)
미국 상품 선물 거래 위원회(CFTC: U.S. Commodity Futures Trading Commission)
미소금융재단
미소수입물량
미스트(MIST)
미시경제학(Microeconomics)
미주개발은행
바닐라 옵션(Vanilla Option)
바스켓 금리
바이 아메리칸(Buy American)
바이너리 옵션(Binary Option)
바젤은행감독위원회(BCBS)
바클레이스
반대매매(Liquidation)
반발매수
반환일시금
발동가격
발생주의회계ㆍ현금주의회계
발행시장(primary market)
방카슈랑스(Bancassurance)
방코델타아시아(BDA)
배당락
배드뱅크(Bad Bank)
배타적 계약(Exclusive Contracts)
백로효과
밴드왜건효과(band wagon effect)
밸리효과(Valley Effect)
뱅커스유산스
뱅크런(Bank Run)
버냉키쇼크
버뮤다옵션
"버터플라이 스프레드, 나비형 스프레드(Butterfly Spread)"
"버트랑 모형(베르트랑 모형, Bertrand Model)"
버티컬 스프레드 / 수직 스프레드(Vertical Spread)
벌룬 론(Balloon Loan)
벌처펀드
범위의 경제(Economies of Scope)
법화
베가(Vega)
베블런효과(Veblen Effect)
베어 스프레드(Bear Spread)
베어마켓(Bear Market)
베어마켓랠리
베이시스(Basis)
베이지북(Beige Book)
베이징 컨센서스(Beijing Consensus)
베타(β)계수
변동 금리 저당 대출(ARM: Adjustable-rate mortgage)
변동환율제도
변액보험
보마(Vomma)
보복관세(Retaliatory duties)
보상적 임금격차(Compensating Wage Differential)
보이지 않는 손(Invisible Hand)
보장성보험
보증보험
보증증서(Surety Bond)
보합세
보험료지수
보험침투율
보호무역주의
보호예수(保護預受)
복리이자
복수통화바스켓제도
복합점포(BIBㆍBranch In Branch)
본원통화
볼린저밴드(Bollinger band)
부동산버블(Housing Bubble)
부동산투자신탁회사(리츠)
부동산펀드
부리이율
부보예금
"부외거래(簿外去來, Off Balance Sheet Engagement)"
부의 효과
부존 효과(보유 효과)
부채 디플레이션(Debt Deflation)
부트스트래핑(Bootstrapping)
북미 자유 무역 협정(NAFTA)
분수 효과
분할매도
분할매수
분할상환식 담보대출(repayment mortgage)
"불 스프레드, 강세 스프레드(Bull Spread)"
불규칙 보행 가설
불완전판매
불태화 정책
"불편기대이론(不偏期待理論, Unbiased Expectation Theory)"
불환지폐
불황형 흑자
브래킷 크리프(Bracket Creep)
브렉시트(Brexit)
브로커-딜러(Broker-dealer)
브리튼우즈체제
브릭스(BRIC's)
블랙 스완(Black Swan)
블랙먼데이(Black Monday)
블랙숄즈모형(Black-Scholes Model)
블랙스완
블랙컨슈머(Black Consumer)
블록딜(Block Deal)
"블록세일, 블록딜"
블루슈머
블루칩(Blue Chip)
블룸버그 터미널(Bloomberg Terminal)
비가치재
비경제 활동 인구
비과세저축
비관세장벽
비교우위(Comparative Advantage)
"비용 극소화 문제(CMP, Cost Minimization Problem)"
비용 인상 인플레이션
비용질병
"비용편익분석(BC분석, Cost-Benefit Analysis)"
비차익거래
빅맥지수
빅뱅
빚의 함정(Debt Trap)
사모투자전문회사
"사모펀드(私募─, Private Equity Fund(PEF))"
사무라이본드(Samurai Bond)
사업소득
사이드카
사적재(Private Goods)
사회 보장 제도
사회적 잉여(Social Surplus)
사회적할인율
사회책임투자
사후검증(Back Testing)
"산업금융채권(산금채, Industrial Financial Debentures)"
산업자본주의
산업조직론(Industrial Organization)
산업피해구제수준
산탄데르 은행(Banco Santander)
상계
상계관세
상대적 빈곤율
상사채권
상승잠재력
상업사용인
상업참고금리
상장
상장실질심사
상장지수펀드(ETF: Exchange Traded Fund)
상품거래소
상품권
상품신용공사
상호부금
상호신용금고
상호출자
상환
상환전환우선주(RCPS)
생산용량제한(Capacity Constraint)
생산자물가지수(PPI)
생산자잉여
생애 주기/항상 소득 가설
생애소득
생활물가지수(CPI for Living Necessaries)
샤프지수
서브프라임 대출(subprime lending)
서브프라임 모기지 사태(subprime mortgage crisis)
서브프라임모기지론(Subprime Mortgage Loan: 비우량주택담보대출)
서비스거래에 관한 일반협정
서킷브레이커
석유수출국기구(OPEC)
선강통
선도은행
선도환(선물환)/선물환거래
선물거래
선박펀드
선별(Screening)
선일자수표
선점효과(First-Mover Advantage)
선하증권
선형요금(Linear Price)/ 비선형요금(Non-linear Price)
성장사다리펀드
세계경제전망(World Economic Outlook: WEO)
세계경제포럼(World Economic Forum: WEF)
세계무역기구(WTO)
세계박람회
세계은행(World Bank)
세계은행그룹
세계잉여금
세계지적소유권기구(WIPO: World Intellectual Property Organization)
세금해방일
세무검증제도
세제적격/세제비적격
세타(Theta)
셀로판 오류(Cellophane Fallacy)
소득 대비 대출 비율(LTI: loan to income)
소득 양극화
소득 주도 성장
소득배율
소득수지
소버노믹스(sobernomics)
소버린리스크
소비대차
소비세
소비의 비가역성
소비자 잉여(Consumer's Surplus)
소비자 파산(개인파산)
소비자기대지수
소비자기본법
소비자단체소송제
소비자물가지수(CPI: Consumer Price Index)ㆍ생활물가지수
소비자보호법
소비자신뢰지수
소비자심리지수
소비자안전센터
소비자안전체감지수
소비자피해 일괄구제제도
소상공인 담보부 특별보증제도
소액보험(Microinsurance)
소프트 패치(Soft Patch)
소프트달러(Soft Dollar)
손실 회피 성향
손절매
쇼군본드(Shogun Bond)
숏커버
숏플레이
수권자본제도
수동채권
수량할인(Quantity Discount)
수요 견인 인플레이션(Demand-pull Inflation)
수요의 가격탄력성(Price Elasticity of Demand)
수요의 교차 가격탄력성(Cross Price Elasticity of Demand)
수요의 법칙(Law of Demand)
수의계약
수익률곡선
수익비용대응의 원칙
수입대체
수입쿼터
수지상등의 원칙
수출입물가지수
수출입은행
수출자율규제(VER)
수쿠크
수평규제
수평합병/수직합병(Horizontal Merger/Vertical Merger)
순채권국
순환매
슈바베지수
"슈타켈버그 모형(선도자-추종자 모형, Stackelberg Model)"
슈퍼301조
스마슈머(Smasumer)
스무딩 오퍼레이션
스시지수(Sushi Index)
스와프포인트
스왑 스프레드
스왑(Swap)
스웻 에쿼티(Sweaty Equity)
스위트 스폿(Sweet Spot)
스캘핑(Scalping)
스타지수
스태그 디플레이션(Stag-Deflation)
스태그플레이션
스토캐스틱(Stochastics)
스튜어드쉽코드
스튜피드(STUPID)
스트레스 금리(Stress Rate)
"스트레스 테스트
(Stress testing)"
스트레스 테스트(Stress Test)
스파게티볼 효과(Spaghetti Bowl Effect)
스펙시트(Spexit)
스프레드(Spread)
스프레드거래
슬리피지(Slippage)
승수효과(Multiplier Effect)
승자의재앙
승환계약
시가총액
시간적 가치(Time Value)
시스템리스크
시장 평균 환율 제도
시장경제지위
시장규율(market discipline)
시장실패
시장접근
시장지배력(Market Power)
시장지배적지위 남용행위
시장청산
시장획정(Market Definition)
시카브펀드
시코노믹스(Chiconomics)
신 파일러(Thin Filer)
신BIS협약
신경제
신고가/신저가
"신기후체제(파리기후협약, Paris Agreement)"
신뉴딜정책
신디케이트(Syndicate)
신디케이트론
신용 창조
신용공여한도제도
신용보증
신용부도스왑
신용스프레드
신용장
신용창조(Credit Creation)/신용경색(Credit Crunch)
신용파생상품
신용평가
신용평가(Credit rating)
신용회복위원회
신용회복지원협약
신자산건전성 분류기준
신탁상품
신호 발송(Signalling)
신화폐 수량설
신흥공업경제(NIEs)
실권주
실망실업자
실물자본수익률
실버산업
실업률
실업자
실적공사비
실질 GDP
실질 무역 손익
실질임금
실효세율
실효환율지수
십분위 분배율
십분위배율
"쌍둥이적자(Double Deficit, Twin Deficit)"
쌍봉형 금융감독체계
아리랑본드
아메리칸 옵션(American Option)
아베노믹스
아시아-태평양 경제협력 각료회의(Asia-Pacific Economic Cooperation; APEC)
아시아개발은행(ADB)
아시아공동통화(ACU)
아시아인프라투자은행(AIIB)
아시안 옵션
"아웃 오브 더 머니(Out Of The Money, OTM)"
아웃라이트거래
아이언 버터플라이(Iron Butterfly)
아이언 콘도르(Iron Condor)
아이언플레이션
아프리카개발은행(AFDB)
"악대차 효과(밴드왜건 효과, Bandwagon Effect)"
악어 입 그래프
안전통화의 저주(Curse Under Safe Haven)
암시장(Black Market)
암호화폐(cryptocurrency)
애그플레이션(Agflation)
애버취-존슨효과(Averch-Johnson Effect)
액면금액
액면병합/액면분할
액면분할(Stock Split)
앤 캐리 트레이드
앱카드
앱테크
앳킨슨지수
야성적 충동(Animal Spirit)
약관
약관대출
약속어음
약정금리
약제비적정화방안
양건예금
양도담보
양도성예금증서
양면시장(Two-Sided Market)
양봉/음봉
양자투자협정
양적완화(QE: Quantitative Easing)
양키본드/팬더본드
양허성수준
양허협상
어슈어뱅킹
어음
어음할인
엄브렐러펀드
에스크로 계정(Escrow Account)
에코플레이션
에쿼티(Equity)
엔젤 투자(Angel investment)
엔젤클럽
엔젤투자협회
엔캐리트레이드(Yen Carry Trade)
엠파이어스테이트제조업지수
엥겔지수(Engel's Coefficient)
여신전문금융회사
역 모기지(Reverse Mortage)
역관세
역구매카드
역내경제감시기구(ASEAN+3 Macroeconomic Research Office: AMRO)
"역내포괄적경제동반자협정
(RCEP: Regional Comprehensive Economic Partnership)"
역머니무브
역모기지
역선택(Adverse Selection)
역외선물환
역외펀드
역전세
역진귀납법(Backward Induction)
역진성
연금(annuity)
연금기금
연금사회주의
연금저축
연금충당부채
연기금 주식투자
연방공개시장위원회
연방준비제도(Fed: Federal Reserve System)
연방준비제도이사회(FRB: Federal Reserve Board)
연평균복합성장률
열등재(Inferior Goods)
영구채(perpetual bond)
예고등기
예금보험제도
예금수신액
예금자보호
예대마진
예대율
예비적 화폐 수요
예산집합(예산제약)
예수금/미수금
예정위험률
예정이율
예탁결제원
옐로우칩
오바마노믹스
오버나이트(Over Night)
오버슈팅
오버행
오쿤의 법칙
오퍼레이션 트위스트(Operation Twist)
오페라본드
온디맨드 경제(On-demand Economy)
옵션
완전 고용
완전경쟁시장(Perfect Competitive Market)
외국환평형기금채권(Foreign Exchange Stabilization Bond)
외부 시차
"외부효과(External Effect, Externalities)"
외평채
외화가득률
외환보유액(Official Reserve Assets)
요소가격
요소소득
우루과이라운드
우리집물가체험하기
우발채무
우선변제권
우선주
우편환
우회덤핑
워런트
워런트(Warrant)
원금·이자분리채권(STRIPS)
원산지
원화절상
원화절하
위코노미
위탁가공무역
윈도드레싱
윔블던 효과
유가공시기관(PRA)
유가증권(Securities)
유니콘기업
유동성
유동성 커버리지 비율(LCR: liquidity coverage ratio)
유동성 프리미엄
유동성 함정(Liquidity Trap)
유동성공급자(LP)
유동외채비율
유동자산
유러피안 옵션(European Option)
유럽경화증(Eurosclerosis)
유럽부흥개발은행(EBRD)
유럽재정안정기금(EFSF)
유로 달러
유로존
유보율
유사투자자문업자
유상감자/유상증자
유치산업보호론
유효수요
유휴자금
은행신탁
은행자기자본금
은행자본확충펀드
의무보호예수
이격도
이노베이션
이동평균선
이마트 지수
이머징마켓
이부 요금제(Two-Part Tariff)
이슬람 금융
이윤율저하의 법칙
이자소득
이전소득
이종통화
이중가격제
이표채
이해상충방지체계
이행보증금
"인 더 머니(In The Money, ITM)"
"인구 고령화(고령, 초고령화)"
인구 보너스·인구 오너스
인구절벽(Demographic Cliff)
인덱스펀드(Index Fund)
인버스(Inverse) ETF
인적자본(Human Capital)
인정이자율
인터넷전문은행
인프라스트럭처(Infrastructure)
인플레이션(Inflation)
일람불
일물일가의 법칙
일반균형(General Equilibrium)
일본화(Japanization)
일시매매정지(서킷브레이커)
일임매매
일중매매(Day-trading)
임계매출분석(Critical Loss Analysis)
임금의 하방 경직성
임대료
임대차
임차료
임팩트 투자(Impact Investment)
자동 안정화 장치
자문형랩
자발적 실업/비자발적 실업
자본 자유화
자본(Capital)
자본화율
자본환원율(CAP rate)
자산 효과
자산운용사
자산유동화기업어음(ABCP)
자산유동화증권(ABS: Asset Backed Securities)
자연 실업률
자연독점(Natural Monopoly)
자유방임주의
자유재(Free Goods)
자중손실
작은 정부
잔가보장할부
잠재성장률
잠정주택판매지수(Pending Home Sales Index)
장기대출프로그램(LTRO: Long Term Refinancing Operation)
장바구니 물가
장외거래
장외시장
장외주식
장외파생상품
장외파생상품 청산소(CCP)
장하성펀드
재고순환
재량적 재정정책
재보험(reinsurance)
재정수지
재정절벽(Fiscal cliff)
재정증권
재조달원가
재택경제(자이징지)
재할인율(Rediscount Rate)
재할인율정책
잭슨홀 미팅(Jackson Hole Meeting)
저율관세할당
저축은행
적격자산
적기시정조치
전국경제인연합회(전경련)
전략(Strategy)
전략적 디폴트(strategic default)
전략적 자산배분(SAA)
전술적 자산배분(TAA)
전신환(Telegraph Transfer)
전자단기사채
전자수입인지(E-revenue Stamp)
전환사채
전환주식
절대우위(Absolute Advantage)
절대적 빈곤(율)
절약의 역설
점보 모기지(Jumbo Mortgage)
정리매매
정보경제학(Information Economics)
정보의 비대칭성
정부실패
정책 무력성 정리
정책함정(Policy Trap)
정크본드
정형거래조건(Incoterms)
제2금융권
제2단계 외환자유화
제3금융권
제3세계
제로금리(Zero Interest Rate)
제로잉
제품 차별화(Product Differentiation)
조건부자본증권(코코본드)
조기경보시스템
조기상환위험
조달금리
조세귀착
종신보험
종합무역법(Omnibus Trade and Competitiveness Act of 1988)
죄수의 딜레마(Prisoner's Dilemma)
주가수익률
주가조작
주가지수선물거래
주가지수연계펀드(ELF: Equity Linked Fund)
주가지수옵션거래
주권비상장법인
주식대량보유공시제도(5% Rule)
주식예탁증서
주식회사
주인-대리인 문제(Principal-Agent Problem)
"주조이익(Seigniorage, 시뇨리지)"
주주권행사
주주총회
주채권은행제도
주채무계열
주택담보인정비율(LTV비율)
주택저당증권
주택채권입찰제
주택청약종합저축
준칙
중간재
중계무역(Intermediary Trade)
중국 A주시장
중국 B주시장
중국제조 2025
중도금
중상주의
중앙은행
중진국함정(Middle Income Trap)
즉시연금
즉시연금보험
증거금
지급여력비율
지급준비율
지니계수
지대추구행위(Rent-seeking)
지배전략(Dominant Strategy)
지불준비금
지속가능발전
지수연동정기예금(ELD)
지식기반 경제
지식기반산업
지식재산(IP) 금융
지역금융안전망(RFAs)
지역내총생산
지역상생보증펀드
지적자본
지하경제
직접 금융 / 간접 금융
직접 투자 / 간접 투자
직접세
진입장벽(Entry Barrier)
질권
질적완화
집적 경제(Economies of Agglomeration)
차관계약서
차금결제
차명계좌
차별관세
차선의 이론
차액결제시스템(Net Settlement System)
차액결제이행용 담보증권
차이나리스크(China Risk)
차이나플레이션(Chinaflation)
차이메리카(Chimerica)
차익거래(Arbitrage Trading)
차입축소(디레버리지)/레버리지
창업엑셀러레이터
창의자본(Invention Capital)
창조경제로 가는 길(A Pathway to a Creative Economy)
창조적 파괴(Creative Distruction)
채권시가평가제
채권시장안정펀드
채권유예기간
채권최고액
채권추심업무
채권회수율
채무 증권(Debt security)
채무면제ㆍ유예상품(Debt cancellation & debt suspension)
채무불이행(Default)
처분 가능소득
청년창업펀드
청약부금
청약예금
체결강도
체리피킹(Cherry Picking)
체제 전환 경제
초과 수요(Excess Supply) / 초과 공급(Excess Demand)
총계예산주의
총부채상환비율(DTI: Debt-to-Income Ratio)
총부채원리금상환비율(DSR: debt service ratio)
총수요관리
총요소생산성
총자산이익율ㆍ자기자본순이익율
총주주수익률(TSR)
총통화(M2)
최고가격제
최소시장접근
최소효율규모(Minimum Efficient Scale)
최유리지정가호가
최저한세제도
최적 정책의 동태적 비일관성
최종 대부자
추심
추심어음
출구전략(Exit Strategy)
출금전표
취약국가지수
취업애로계층
취업유발계수
취업자
치앙마이 이니셔티브
카르텔(담합)
카멜(CAMEL)
카페라떼 효과(Caffe Latte Effect)
캐리 트레이드(Carry Trade)
캐즘(Chasm)
캘리차이나
캘린더 스프레드(Calendar Spread)
캥거루본드(Kangaroo Bond)
커미티드 라인
커버드 워런트(Covered Warrant)
커피출레이션(Capitulation)
컨벡시티(Convexity)
컨소시엄(Consortium)
컨테이너안전협정
컴파운드 옵션(Compound Option)
케인즈 경제학
코리나(KORINA)
코리안페이퍼
코스닥
코스트에버리지(Cost Average)
코스피200(KOSPI200)
코픽스(COFIX: Cost of funds index)
콘탱고(Contango)
콜
콜 오버(Call Over)
"콜 온 어 풋(Call On A Put, CoP, CaPut, 풋 옵션에 대한 콜옵션)"
콜금리
콜레보노믹스
콜시장
콜오버
콜옵션(Call Option)
쿠르노 모형(Cournot Model)
쿠퍼효과
쿠폰금리
쿼드러플 위칭데이(Quadruple Witching Day)
퀀텀점프(Quantum Jump)
퀀트펀드
큐싱(Qshing)
크레디트디폴트스와프
크리스마스 트리 스프레드 전략)(Christmas Tree)
클린펀드
키코(KIKO)
킹스턴체제
타당성재조사
